****VGG16 Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 7.028808 6.236565 0.792243 12.474347 6.248326 6.214420 0.033906 6.226022
2 7.021613 6.228885 0.792728 9.641437 3.417242 2.954428 0.462813 6.224195
3 1.785767 1.393749 0.392018 3.250027 1.860668 1.399472 0.461196 1.389359
4 1.786143 1.393762 0.392382 2.298573 0.902503 0.682791 0.219712 1.396069
5 1.007628 0.811969 0.195659 1.823011 1.012969 0.793319 0.219650 0.810042
6 1.010975 0.815093 0.195882 1.709531 0.903638 0.794808 0.108830 0.805893
7 1.003505 0.810014 0.193491 1.334931 0.524289 0.415417 0.108872 0.810642
8 0.634895 0.537158 0.097737 1.174610 0.642030 0.533165 0.108865 0.532580
9 0.634980 0.537295 0.097686 1.126347 0.589475 0.535175 0.054299 0.536872
10 0.632493 0.534586 0.097906 0.725746 0.190005 0.135697 0.054308 0.535741
11 0.158381 0.134539 0.023842 0.326071 0.190103 0.135776 0.054328 0.135968
12 0.158351 0.134503 0.023848 0.285825 0.149842 0.136031 0.013811 0.135983
13 0.158796 0.134907 0.023890 0.285232 0.149298 0.135481 0.013817 0.135934
14 0.074641 0.073311 0.001329 0.082838 0.004396 0.003359 0.001037 0.078442
15 0.004205 0.003010 0.001194 0.005172 0.001963 0.000914 0.001050 0.003209
16 0.001010 0.000890 0.000119 0.001687 0.000315 0.000000 0.000315 0.001372
